example_id,source_lang,target_lang,source_text,target_text,domain,register,source_type,source_name,source_url,license,translator,review_status,notes
fra-kon-000130,fra,kon,J'ai tenté.,,,,,,,CC-BY-4.0,,,
fra-kon-000131,fra,kon,J'irai.,,,,,,,CC-BY-4.0,,,
fra-kon-000132,fra,kon,Je suis gras.,,,,,,,CC-BY-4.0,,,
fra-kon-000133,fra,kon,Je suis gros.,,,,,,,CC-BY-4.0,,,
fra-kon-000134,fra,kon,Je suis en forme.,,,,,,,CC-BY-4.0,,,
fra-kon-000135,fra,kon,Je suis touché !,,,,,,,CC-BY-4.0,,,
fra-kon-000136,fra,kon,Je suis touchée !,,,,,,,CC-BY-4.0,,,
fra-kon-000137,fra,kon,Je suis malade.,,,,,,,CC-BY-4.0,,,
fra-kon-000138,fra,kon,Je suis triste.,,,,,,,CC-BY-4.0,,,
fra-kon-000139,fra,kon,Je suis timide.,,,,,,,CC-BY-4.0,,,
fra-kon-000140,fra,kon,Je suis mouillé.,,,,,,,CC-BY-4.0,,,
fra-kon-000141,fra,kon,Je suis mouillée.,,,,,,,CC-BY-4.0,,,
fra-kon-000142,fra,kon,C'est bibi !,,,,,,,CC-BY-4.0,,,
fra-kon-000143,fra,kon,Joignez-vous.,,,,,,,CC-BY-4.0,,,
fra-kon-000144,fra,kon,Joignez-vous à nous.,,,,,,,CC-BY-4.0,,,
fra-kon-000145,fra,kon,Garde-le !,,,,,,,CC-BY-4.0,,,
fra-kon-000146,fra,kon,Gardez-le !,,,,,,,CC-BY-4.0,,,
fra-kon-000147,fra,kon,Embrasse-moi.,,,,,,,CC-BY-4.0,,,
fra-kon-000148,fra,kon,Embrassez-moi.,,,,,,,CC-BY-4.0,,,
fra-kon-000149,fra,kon,Moi aussi.,,,,,,,CC-BY-4.0,,,
fra-kon-000150,fra,kon,Ouvre-moi !,,,,,,,CC-BY-4.0,,,
fra-kon-000151,fra,kon,Ouvre.,,,,,,,CC-BY-4.0,,,
fra-kon-000152,fra,kon,Parfait !,,,,,,,CC-BY-4.0,,,
fra-kon-000153,fra,kon,À plus.,,,,,,,CC-BY-4.0,,,
fra-kon-000154,fra,kon,Montre-moi !,,,,,,,CC-BY-4.0,,,
fra-kon-000155,fra,kon,Montrez-moi !,,,,,,,CC-BY-4.0,,,
fra-kon-000156,fra,kon,Taisez-vous !,,,,,,,CC-BY-4.0,,,
fra-kon-000157,fra,kon,Ferme-la !,,,,,,,CC-BY-4.0,,,
fra-kon-000158,fra,kon,Tais-toi !,,,,,,,CC-BY-4.0,,,
fra-kon-000159,fra,kon,Ferme-la !,,,,,,,CC-BY-4.0,,,
fra-kon-000160,fra,kon,La ferme !,,,,,,,CC-BY-4.0,,,
fra-kon-000161,fra,kon,À plus tard !,,,,,,,CC-BY-4.0,,,
fra-kon-000162,fra,kon,Prends-le !,,,,,,,CC-BY-4.0,,,
fra-kon-000163,fra,kon,Prenez-le !,,,,,,,CC-BY-4.0,,,
fra-kon-000164,fra,kon,Dis-moi !,,,,,,,CC-BY-4.0,,,
fra-kon-000165,fra,kon,Dites-moi !,,,,,,,CC-BY-4.0,,,
fra-kon-000166,fra,kon,Tom a gagné.,,,,,,,CC-BY-4.0,,,
fra-kon-000167,fra,kon,Réveille-toi !,,,,,,,CC-BY-4.0,,,
fra-kon-000168,fra,kon,Réveille-toi !,,,,,,,CC-BY-4.0,,,
fra-kon-000169,fra,kon,Réveillez-vous !,,,,,,,CC-BY-4.0,,,
fra-kon-000170,fra,kon,Lave-toi !,,,,,,,CC-BY-4.0,,,
fra-kon-000171,fra,kon,Lavez-vous !,,,,,,,CC-BY-4.0,,,
fra-kon-000172,fra,kon,Nous savons.,,,,,,,CC-BY-4.0,,,
fra-kon-000173,fra,kon,Nous perdîmes.,,,,,,,CC-BY-4.0,,,
fra-kon-000174,fra,kon,Nous avons perdu.,,,,,,,CC-BY-4.0,,,
fra-kon-000175,fra,kon,Nous fûmes battus.,,,,,,,CC-BY-4.0,,,
fra-kon-000176,fra,kon,Nous fûmes battues.,,,,,,,CC-BY-4.0,,,
fra-kon-000177,fra,kon,Nous fûmes défaits.,,,,,,,CC-BY-4.0,,,
fra-kon-000178,fra,kon,Nous fûmes défaites.,,,,,,,CC-BY-4.0,,,
fra-kon-000179,fra,kon,Nous avons été défaits.,,,,,,,CC-BY-4.0,,,
fra-kon-000180,fra,kon,Nous avons été défaites.,,,,,,,CC-BY-4.0,,,
fra-kon-000181,fra,kon,Nous avons été battus.,,,,,,,CC-BY-4.0,,,
fra-kon-000182,fra,kon,Nous avons été battues.,,,,,,,CC-BY-4.0,,,
fra-kon-000183,fra,kon,Qui a gagné ?,,,,,,,CC-BY-4.0,,,
fra-kon-000184,fra,kon,Qui l'a emporté ?,,,,,,,CC-BY-4.0,,,
fra-kon-000185,fra,kon,Tu cours.,,,,,,,CC-BY-4.0,,,
fra-kon-000186,fra,kon,Suis-je gros ?,,,,,,,CC-BY-4.0,,,
fra-kon-000187,fra,kon,Suis-je grosse ?,,,,,,,CC-BY-4.0,,,
fra-kon-000188,fra,kon,Recule !,,,,,,,CC-BY-4.0,,,
fra-kon-000189,fra,kon,Reculez.,,,,,,,CC-BY-4.0,,,
fra-kon-000190,fra,kon,Retire-toi !,,,,,,,CC-BY-4.0,,,
fra-kon-000191,fra,kon,Retirez-vous.,,,,,,,CC-BY-4.0,,,
fra-kon-000192,fra,kon,Sois un homme !,,,,,,,CC-BY-4.0,,,
fra-kon-000193,fra,kon,Soyez un homme !,,,,,,,CC-BY-4.0,,,
fra-kon-000194,fra,kon,Aucune idée.,,,,,,,CC-BY-4.0,,,
fra-kon-000195,fra,kon,J'en sais foutre rien.,,,,,,,CC-BY-4.0,,,
fra-kon-000196,fra,kon,Appelle Tom.,,,,,,,CC-BY-4.0,,,
fra-kon-000197,fra,kon,Appelez Tom.,,,,,,,CC-BY-4.0,,,
fra-kon-000198,fra,kon,Courage !,,,,,,,CC-BY-4.0,,,
fra-kon-000199,fra,kon,Détends-toi !,,,,,,,CC-BY-4.0,,,
fra-kon-000200,fra,kon,Menottez-le.,,,,,,,CC-BY-4.0,,,
fra-kon-000201,fra,kon,Avance !,,,,,,,CC-BY-4.0,,,
fra-kon-000202,fra,kon,Avancez !,,,,,,,CC-BY-4.0,,,
fra-kon-000203,fra,kon,Continue à rouler !,,,,,,,CC-BY-4.0,,,
fra-kon-000204,fra,kon,Continuez à rouler !,,,,,,,CC-BY-4.0,,,
fra-kon-000205,fra,kon,Lâche-toi !,,,,,,,CC-BY-4.0,,,
fra-kon-000206,fra,kon,Descends !,,,,,,,CC-BY-4.0,,,
fra-kon-000207,fra,kon,Descendez !,,,,,,,CC-BY-4.0,,,
fra-kon-000208,fra,kon,Lâchez-vous !,,,,,,,CC-BY-4.0,,,
fra-kon-000209,fra,kon,Va voir ailleurs si j'y suis !,,,,,,,CC-BY-4.0,,,
fra-kon-000210,fra,kon,Va au diable !,,,,,,,CC-BY-4.0,,,
fra-kon-000211,fra,kon,Sois réaliste !,,,,,,,CC-BY-4.0,,,
fra-kon-000212,fra,kon,Vas-y.,,,,,,,CC-BY-4.0,,,
fra-kon-000213,fra,kon,Poursuis !,,,,,,,CC-BY-4.0,,,
fra-kon-000214,fra,kon,Passe devant !,,,,,,,CC-BY-4.0,,,
fra-kon-000215,fra,kon,Vas-y !,,,,,,,CC-BY-4.0,,,
fra-kon-000216,fra,kon,Bien joué !,,,,,,,CC-BY-4.0,,,
fra-kon-000217,fra,kon,Bon boulot !,,,,,,,CC-BY-4.0,,,
fra-kon-000218,fra,kon,Beau travail !,,,,,,,CC-BY-4.0,,,
fra-kon-000219,fra,kon,Attrape-le.,,,,,,,CC-BY-4.0,,,
fra-kon-000220,fra,kon,Attrapez-le.,,,,,,,CC-BY-4.0,,,
fra-kon-000221,fra,kon,Amuse-toi bien !,,,,,,,CC-BY-4.0,,,
fra-kon-000222,fra,kon,Amusez-vous bien !,,,,,,,CC-BY-4.0,,,
fra-kon-000223,fra,kon,Il essaye.,,,,,,,CC-BY-4.0,,,
fra-kon-000224,fra,kon,Il est mouillé.,,,,,,,CC-BY-4.0,,,
fra-kon-000225,fra,kon,"Salut, les mecs !",,,,,,,CC-BY-4.0,,,
fra-kon-000226,fra,kon,Comme c'est mignon !,,,,,,,CC-BY-4.0,,,
fra-kon-000227,fra,kon,Quelle profondeur ?,,,,,,,CC-BY-4.0,,,
fra-kon-000228,fra,kon,Comme c'est chouette !,,,,,,,CC-BY-4.0,,,
fra-kon-000229,fra,kon,Comme c'est gentil !,,,,,,,CC-BY-4.0,,,
fra-kon-000230,fra,kon,C'est du joli !,,,,,,,CC-BY-4.0,,,
fra-kon-000231,fra,kon,Comme c'est agréable !,,,,,,,CC-BY-4.0,,,
fra-kon-000232,fra,kon,Fais-moi rire.,,,,,,,CC-BY-4.0,,,
fra-kon-000233,fra,kon,Dépêche-toi.,,,,,,,CC-BY-4.0,,,
fra-kon-000234,fra,kon,Grouille !,,,,,,,CC-BY-4.0,,,
fra-kon-000235,fra,kon,Pressez-vous !,,,,,,,CC-BY-4.0,,,
fra-kon-000236,fra,kon,Fiça !,,,,,,,CC-BY-4.0,,,
fra-kon-000237,fra,kon,Je m'en suis bien sorti.,,,,,,,CC-BY-4.0,,,
fra-kon-000238,fra,kon,Je m'en suis bien sortie.,,,,,,,CC-BY-4.0,,,
fra-kon-000239,fra,kon,Je l'ai fait.,,,,,,,CC-BY-4.0,,,
fra-kon-000240,fra,kon,C'est moi qui l'ai fait.,,,,,,,CC-BY-4.0,,,
fra-kon-000241,fra,kon,J'ai échoué.,,,,,,,CC-BY-4.0,,,
fra-kon-000242,fra,kon,J'ai oublié.,,,,,,,CC-BY-4.0,,,
fra-kon-000243,fra,kon,J'ai compris.,,,,,,,CC-BY-4.0,,,
fra-kon-000244,fra,kon,J'ai capté.,,,,,,,CC-BY-4.0,,,
fra-kon-000245,fra,kon,Je téléphonai.,,,,,,,CC-BY-4.0,,,
fra-kon-000246,fra,kon,J'ai téléphoné.,,,,,,,CC-BY-4.0,,,
fra-kon-000247,fra,kon,Je refuse.,,,,,,,CC-BY-4.0,,,
fra-kon-000248,fra,kon,Je le refuse.,,,,,,,CC-BY-4.0,,,
fra-kon-000249,fra,kon,Je l'ai vu.,,,,,,,CC-BY-4.0,,,
fra-kon-000250,fra,kon,Je l’ai vu.,,,,,,,CC-BY-4.0,,,
fra-kon-000251,fra,kon,Je suis resté.,,,,,,,CC-BY-4.0,,,
fra-kon-000252,fra,kon,Je suis restée.,,,,,,,CC-BY-4.0,,,
fra-kon-000253,fra,kon,Je l'utilise.,,,,,,,CC-BY-4.0,,,
fra-kon-000254,fra,kon,J'en fais usage.,,,,,,,CC-BY-4.0,,,
fra-kon-000255,fra,kon,Je m'en sers.,,,,,,,CC-BY-4.0,,,
fra-kon-000256,fra,kon,Je paierai.,,,,,,,CC-BY-4.0,,,
fra-kon-000257,fra,kon,Je vais essayer.,,,,,,,CC-BY-4.0,,,
fra-kon-000258,fra,kon,J'essaierai.,,,,,,,CC-BY-4.0,,,
fra-kon-000259,fra,kon,Je suis revenu.,,,,,,,CC-BY-4.0,,,
fra-kon-000260,fra,kon,Me revoilà.,,,,,,,CC-BY-4.0,,,
fra-kon-000261,fra,kon,Je suis chauve.,,,,,,,CC-BY-4.0,,,
fra-kon-000262,fra,kon,Je suis occupé.,,,,,,,CC-BY-4.0,,,
fra-kon-000263,fra,kon,Je suis occupée.,,,,,,,CC-BY-4.0,,,
fra-kon-000264,fra,kon,Je suis calme.,,,,,,,CC-BY-4.0,,,
fra-kon-000265,fra,kon,J'ai froid.,,,,,,,CC-BY-4.0,,,
fra-kon-000266,fra,kon,Je suis sourd.,,,,,,,CC-BY-4.0,,,
fra-kon-000267,fra,kon,Je suis sourde.,,,,,,,CC-BY-4.0,,,
fra-kon-000268,fra,kon,J'en ai fini.,,,,,,,CC-BY-4.0,,,
fra-kon-000269,fra,kon,Je suis rapide.,,,,,,,CC-BY-4.0,,,
fra-kon-000270,fra,kon,Tout va bien.,,,,,,,CC-BY-4.0,,,
fra-kon-000271,fra,kon,Je suis libre !,,,,,,,CC-BY-4.0,,,
fra-kon-000272,fra,kon,Je suis libre.,,,,,,,CC-BY-4.0,,,
fra-kon-000273,fra,kon,Je suis disponible.,,,,,,,CC-BY-4.0,,,
fra-kon-000274,fra,kon,Je suis repu !,,,,,,,CC-BY-4.0,,,
fra-kon-000275,fra,kon,Je suis rassasié !,,,,,,,CC-BY-4.0,,,
fra-kon-000276,fra,kon,Je suis content.,,,,,,,CC-BY-4.0,,,
fra-kon-000277,fra,kon,Je suis chez moi.,,,,,,,CC-BY-4.0,,,
fra-kon-000278,fra,kon,Je suis en retard.,,,,,,,CC-BY-4.0,,,
fra-kon-000279,fra,kon,Je suis paresseux.,,,,,,,CC-BY-4.0,,,
fra-kon-000280,fra,kon,Je suis fainéant.,,,,,,,CC-BY-4.0,,,
fra-kon-000281,fra,kon,Je suis paresseuse.,,,,,,,CC-BY-4.0,,,
fra-kon-000282,fra,kon,Je suis fainéante.,,,,,,,CC-BY-4.0,,,
fra-kon-000283,fra,kon,Je me porte bien.,,,,,,,CC-BY-4.0,,,
fra-kon-000284,fra,kon,Je suis en sécurité.,,,,,,,CC-BY-4.0,,,
fra-kon-000285,fra,kon,J'en suis certain.,,,,,,,CC-BY-4.0,,,
fra-kon-000286,fra,kon,Je suis certain.,,,,,,,CC-BY-4.0,,,
fra-kon-000287,fra,kon,J'en suis sûr.,,,,,,,CC-BY-4.0,,,
fra-kon-000288,fra,kon,J'en suis sûre.,,,,,,,CC-BY-4.0,,,
fra-kon-000289,fra,kon,Je suis grande.,,,,,,,CC-BY-4.0,,,
fra-kon-000290,fra,kon,Je suis mince.,,,,,,,CC-BY-4.0,,,
fra-kon-000291,fra,kon,Je suis ordonné.,,,,,,,CC-BY-4.0,,,
fra-kon-000292,fra,kon,Je suis ordonnée.,,,,,,,CC-BY-4.0,,,
fra-kon-000293,fra,kon,Je suis laid.,,,,,,,CC-BY-4.0,,,
fra-kon-000294,fra,kon,Je suis laide.,,,,,,,CC-BY-4.0,,,
fra-kon-000295,fra,kon,Je suis faible.,,,,,,,CC-BY-4.0,,,
fra-kon-000296,fra,kon,J'ai gagné.,,,,,,,CC-BY-4.0,,,
fra-kon-000297,fra,kon,Je l'ai emporté.,,,,,,,CC-BY-4.0,,,
fra-kon-000298,fra,kon,Elle marche.,,,,,,,CC-BY-4.0,,,
fra-kon-000299,fra,kon,Ça fonctionne.,,,,,,,CC-BY-4.0,,,
fra-kon-000300,fra,kon,C'est le sien.,,,,,,,CC-BY-4.0,,,
fra-kon-000301,fra,kon,C'est la sienne.,,,,,,,CC-BY-4.0,,,
fra-kon-000302,fra,kon,C'est nouveau.,,,,,,,CC-BY-4.0,,,
fra-kon-000303,fra,kon,C'est neuf.,,,,,,,CC-BY-4.0,,,
fra-kon-000304,fra,kon,C'est bizarre.,,,,,,,CC-BY-4.0,,,
fra-kon-000305,fra,kon,C’est triste.,,,,,,,CC-BY-4.0,,,
fra-kon-000306,fra,kon,Défense d'entrer.,,,,,,,CC-BY-4.0,,,
fra-kon-000307,fra,kon,N'entrez pas.,,,,,,,CC-BY-4.0,,,
fra-kon-000308,fra,kon,Laissez-moi !,,,,,,,CC-BY-4.0,,,
fra-kon-000309,fra,kon,Laisse-nous !,,,,,,,CC-BY-4.0,,,
fra-kon-000310,fra,kon,Laissez-nous !,,,,,,,CC-BY-4.0,,,
fra-kon-000311,fra,kon,Allons-y !,,,,,,,CC-BY-4.0,,,
fra-kon-000312,fra,kon,Allons !,,,,,,,CC-BY-4.0,,,
fra-kon-000313,fra,kon,Attention !,,,,,,,CC-BY-4.0,,,
fra-kon-000314,fra,kon,Épouse-moi !,,,,,,,CC-BY-4.0,,,
fra-kon-000315,fra,kon,Épousez-moi !,,,,,,,CC-BY-4.0,,,
fra-kon-000316,fra,kon,Puis-je partir ?,,,,,,,CC-BY-4.0,,,
fra-kon-000317,fra,kon,Puis-je y aller ?,,,,,,,CC-BY-4.0,,,
fra-kon-000318,fra,kon,Puis-je m'y rendre ?,,,,,,,CC-BY-4.0,,,
fra-kon-000319,fra,kon,Elle est venue.,,,,,,,CC-BY-4.0,,,
fra-kon-000320,fra,kon,Elle est morte.,,,,,,,CC-BY-4.0,,,
fra-kon-000321,fra,kon,Elle court.,,,,,,,CC-BY-4.0,,,
fra-kon-000322,fra,kon,Assieds-toi !,,,,,,,CC-BY-4.0,,,
fra-kon-000323,fra,kon,Asseyez-vous !,,,,,,,CC-BY-4.0,,,
fra-kon-000324,fra,kon,Assieds-toi ici.,,,,,,,CC-BY-4.0,,,
fra-kon-000325,fra,kon,Asseyez-vous ici.,,,,,,,CC-BY-4.0,,,
fra-kon-000326,fra,kon,Parle plus fort !,,,,,,,CC-BY-4.0,,,
fra-kon-000327,fra,kon,Parlez plus fort !,,,,,,,CC-BY-4.0,,,
